#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:Horse crab sunder 36" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:Horse crab sunder 36" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:Horse crab sunder 36" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.Horse crab sunder 36" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:Horse crab sunder 36" name="distribution" x="@birthRate.t:Horse crab sunder 36">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:Horse crab sunder 36" name="distribution">
#            <parameter id="gammaShape.s:Horse crab sunder 36" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.3" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@Horse crab sunder 36" id="treeLikelihood.Horse crab sunder 36" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Horse crab sunder 36">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Horse crab sunder 36" shape="@gammaShape.s:Horse crab sunder 36" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Horse crab sunder 36" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Horse crab sunder 36" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:Horse crab sunder 36" spec="beast.base.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:Horse crab sunder 36" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:Horse crab sunder 36" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate	gammaShape	mutationRate
73000	-1905.699159306659	-2027.421463697768	121.72230439110899	-2027.421463697768	0.10647169026773387	0.38446634117829503	121.72230439110899	69.46879305633662	0.24274530769693267	1.0
74000	-1902.9514956481166	-2021.8186496739609	118.86715402584421	-2021.8186496739609	0.12631244783511458	0.43107707894757535	118.86715402584421	78.38438277967334	0.24274530769693267	1.0
75000	-1898.6942558681253	-2023.307619332201	124.61336346407565	-2023.307619332201	0.09574500294195268	0.362029995154763	124.61336346407565	83.04083399246484	0.24274530769693267	1.0
76000	-1903.1772496198985	-2023.6603944865526	120.48314486665409	-2023.6603944865526	0.11006062837466968	0.37863055387197814	120.48314486665409	59.51189181920752	0.24274530769693267	1.0
77000	-1919.3028413108566	-2044.9804588001612	125.67761748930464	-2044.9804588001612	0.08960039182794653	0.3525797016241438	125.67761748930464	111.5156706625675	0.24274530769693267	1.0
78000	-1914.4723160801987	-2037.4467255770467	122.9744094968481	-2037.4467255770467	0.10144954519227214	0.376173587319295	122.9744094968481	112.6444131201259	0.24274530769693267	1.0
79000	-1910.3330446158864	-2025.339289502234	115.00624488634757	-2025.339289502234	0.14300516413485365	0.47312775165953597	115.00624488634757	60.86622756813881	0.24274530769693267	1.0
80000	-1910.0625257643032	-2031.779990965423	121.7174652011197	-2031.779990965423	0.10723327644483287	0.39687222394032085	121.7174652011197	82.93747417414353	0.24274530769693267	1.0
81000	-1906.503496622669	-2027.7631048207695	121.25960819810044	-2027.7631048207695	0.11810978647201406	0.401115947889224	121.25960819810044	95.59302407052795	0.24274530769693267	1.0
82000	-1910.3976011280477	-2033.1612183185296	122.76361719048201	-2033.1612183185296	0.10364468067382644	0.38487793078960203	122.76361719048201	97.71363433976445	0.24274530769693267	1.0
83000	-1915.5436478691918	-2035.6847481398972	120.14110027070556	-2035.6847481398972	0.11256948656804026	0.41420580725970363	120.14110027070556	92.4205130236387	0.24274530769693267	1.0
84000	-1905.3734651302047	-2025.7301606289243	120.35669549871946	-2025.7301606289243	0.12051923766538282	0.41146312389902673	120.35669549871946	77.14455754832886	0.24274530769693267	1.0
85000	-1896.4744487701355	-2018.5535286931017	122.07907992296619	-2018.5535286931017	0.10726423996667492	0.39011837456425097	122.07907992296619	78.40929276054437	0.24274530769693267	1.0
86000	-1914.2823501817868	-2033.1881236745755	118.90577349278874	-2033.1881236745755	0.10906845761663331	0.42802749698603987	118.90577349278874	72.7267105867698	0.24274530769693267	1.0
87000	-1907.7746313122648	-2026.0549598798748	118.28032856761008	-2026.0549598798748	0.12565258243739663	0.43782326951876593	118.28032856761008	75.17634555683667	0.24274530769693267	1.0
